,Unnamed: 0,STGR_HC_with_6_Nodes,STGR_kmeans_with_6_Nodes,STGR_Length
0,Coffee,1.064397296022607,1.0617300908641856,0.1258741258741259
1,FordA,1.4137330490745017,1.375441642791581,0.072
2,FordB,1.4894456394669326,1.4657448227118657,0.072
3,OSULeaf,1.0552506825530779,1.0357262148947957,0.08430913348946135
4,Phoneme,1.1548803079596033,1.0525369086231298,0.03515625
5,ToeSegmentation1,1.069519343773038,1.0758055682205472,0.1299638989169675
6,Worms,1.193222633535309,1.1188161395015488,0.04
7,WormsTwoClass,1.2495238271597924,1.214867654924977,0.04
