,Unnamed: 0,PAA_SVC,PAA_RF,PAA_Length
0,Coffee,3.535714285714286,3.283163265306123,0.2937062937062937
1,FordA,3.0275656291916455,2.9421273844164246,0.33
2,FordB,2.9558745348219033,2.8985507246376816,0.33
3,OSULeaf,3.1197748233321354,3.0168478260869565,0.3231850117096019
4,Phoneme,3.6622686192064178,3.1902228900576013,0.3544921875
5,ToeSegmentation1,3.4433375904640275,3.5814981648314985,0.2924187725631769
6,Worms,2.857142857142857,2.6623376623376624,0.35
7,WormsTwoClass,2.9166666666666665,2.857142857142857,0.35
