,Unnamed: 0,STGR_SVC_with_6_Nodes,STGR_RF_with_6_Nodes,STGR_Length
0,Coffee,8.555555555555554,7.660714285714286,0.1258741258741259
1,FordA,16.122151962260364,17.216294859359845,0.072
2,FordB,15.545808966861598,15.599838969404185,0.072
3,OSULeaf,20.193296602387512,19.37314814814815,0.08430913348946135
4,Phoneme,53.64522417153996,54.406464646464656,0.03515625
5,ToeSegmentation1,10.082375478927206,10.293918918918921,0.1299638989169675
6,Worms,40.44117647058823,35.22727272727273,0.04
7,WormsTwoClass,33.333333333333336,30.612244897959183,0.04
