,Unnamed: 0,BEATS_SVC,BEATS_RF,BEATS_Length
0,Coffee,3.273809523809524,3.4047619047619047,0.2937062937062937
1,FordA,2.8222605458377807,2.956823325397526,0.33
2,FordB,2.801701222753854,2.6734738691260427,0.33
3,OSULeaf,3.3243502215834226,3.2231280193236715,0.3231850117096019
4,Phoneme,4.96138417669518,4.944332582018534,0.3544921875
5,ToeSegmentation1,3.6791826309067694,3.3042208875542207,0.2924187725631769
6,Worms,3.949579831932773,3.246753246753247,0.35
7,WormsTwoClass,3.452380952380953,3.4985422740524785,0.35
