,Unnamed: 0,Eigen_SVC,Eigen_RF,Eigen_Length
0,Coffee,3.6666666666666665,3.4047619047619047,0.2937062937062937
1,FordA,2.789411732501164,2.9803368309672873,0.33
2,FordB,2.8814460393407764,2.711901624945103,0.33
3,OSULeaf,3.298778296802012,3.197342995169083,0.3231850117096019
4,Phoneme,5.530520516166448,5.488004007012273,0.3544921875
5,ToeSegmentation1,3.51409110259685,3.142475809142476,0.2924187725631769
6,Worms,4.033613445378151,3.246753246753247,0.35
7,WormsTwoClass,3.5714285714285716,3.7900874635568513,0.35
