,PAA_SVC,PAA_RF,PAA_Length
Coffee,0.9285714285714286,1.0,36
FordA,0.6742424242424242,0.6704545454545454,36
FordB,0.6,0.5728395061728395,36
OSULeaf,0.5041322314049587,0.512396694214876,36
Phoneme,0.15031645569620253,0.1540084388185654,36
ToeSegmentation1,0.6271929824561403,0.631578947368421,36
Worms,0.4935064935064935,0.5454545454545454,36
WormsTwoClass,0.6233766233766234,0.6103896103896104,36
