,Eigen_SVC,Eigen_RF,Eigen_Length
Coffee,1.0,0.9642857142857143,36
FordA,0.7674242424242425,0.771969696969697,36
FordB,0.6567901234567901,0.6061728395061728,36
OSULeaf,0.5041322314049587,0.512396694214876,36
Phoneme,0.229957805907173,0.26371308016877637,36
ToeSegmentation1,0.618421052631579,0.618421052631579,36
Worms,0.6493506493506493,0.7012987012987013,36
WormsTwoClass,0.7662337662337663,0.7532467532467533,36
