,BEATS_HC,BEATS_kmeans,BEATS_Length
Coffee,0.1751057556562786,0.22679442218095194,36
FordA,0.2816424391775536,0.3265933685007948,36
FordB,0.2818690099809628,0.2982866129822033,36
OSULeaf,0.07777638319455331,0.17903715671282808,36
Phoneme,0.05366283008526101,0.0164458535836392,36
ToeSegmentation1,0.03894187140204903,0.15488501263672835,36
Worms,0.105903088430138,0.14330690171103494,36
WormsTwoClass,0.22791305016358,0.23884001850514314,36
