,Eigen_HC,Eigen_kmeans,Eigen_Length
Coffee,0.159433108409271,0.2327644393021137,36
FordA,0.4074963916089864,0.4039516730734537,36
FordB,0.36471198936229876,0.3759543186043305,36
OSULeaf,0.1097157457873402,0.17446292470203953,36
Phoneme,0.06619763556601586,-0.001264216212749671,36
ToeSegmentation1,0.1783472972875504,0.19543322285177264,36
Worms,0.11308466036865511,0.12334702074411419,36
WormsTwoClass,0.24955723708932054,0.2628984376226688,36
