,BEATS_SVC,BEATS_RF,BEATS_Length
Coffee,0.8928571428571429,1.0,36
FordA,0.7636363636363637,0.7492424242424243,36
FordB,0.6308641975308642,0.5802469135802469,36
OSULeaf,0.47107438016528924,0.4793388429752066,36
Phoneme,0.19725738396624473,0.23259493670886075,36
ToeSegmentation1,0.6798245614035088,0.6842105263157895,36
Worms,0.5844155844155844,0.6233766233766234,36
WormsTwoClass,0.7012987012987013,0.7532467532467533,36
