,PAA_HC,PAA_kmeans,PAA_Length
Coffee,0.2778124150399863,0.2795768747184466,36
FordA,0.0982589834418364,0.16946580630120192,36
FordB,0.029574287504931723,0.1144466071770384,36
OSULeaf,0.1214925568751928,0.24634125654946312,36
Phoneme,0.0022912037490319366,0.05172353505278832,36
ToeSegmentation1,0.08581038593508773,0.2479723701706696,36
Worms,0.09107435384232898,0.14648985995998237,36
WormsTwoClass,0.12983766783533085,0.19396380216498357,36
