,STGR_SVC_with_6_Nodes,STGR_RF_with_6_Nodes,STGR_Length
Coffee,1.0,0.9642857142857143,36
FordA,0.9734848484848485,0.9681818181818181,36
FordB,0.7876543209876543,0.7654320987654321,36
OSULeaf,0.8512396694214877,0.8099173553719008,36
Phoneme,0.22679324894514769,0.27742616033755274,36
ToeSegmentation1,0.8333333333333334,0.868421052631579,36
Worms,0.7142857142857143,0.8051948051948052,36
WormsTwoClass,0.8311688311688312,0.7792207792207793,36
