,Ori_HC,Ori_kmeans,Ori_Length
Coffee,0.2668637259514155,0.2916159405769389,286
FordA,0.04519973607532356,0.09883549829363324,500
FordB,0.011863536364661443,0.055454818167849175,500
OSULeaf,0.14971614004911685,0.23764275701249948,427
Phoneme,-0.0017132135557328756,0.04648128700681528,1024
ToeSegmentation1,0.1376929010943604,0.22711081436454844,277
Worms,0.06289298300127429,0.15574202503868373,900
WormsTwoClass,0.10631922674164318,0.1815403704189389,900
