,Lagrangian_SVC,Lagrangian_RF,Lagrangian_Length
Coffee,0.9285714285714286,1.0,36
FordA,0.6674242424242425,0.6666666666666666,36
FordB,0.6197530864197531,0.5765432098765432,36
OSULeaf,0.5,0.49586776859504134,36
Phoneme,0.1281645569620253,0.14187763713080168,36
ToeSegmentation1,0.6447368421052632,0.6578947368421053,36
Worms,0.4805194805194805,0.5324675324675324,36
WormsTwoClass,0.6233766233766234,0.6623376623376623,36
