,Lagrangian_HC,Lagrangian_kmeans,Lagrangian_Length
Coffee,0.27955734961578993,0.2706996425722187,36
FordA,0.07847381139687913,0.1695806408480218,36
FordB,0.03574647397757797,0.1148137110909042,36
OSULeaf,0.14559016694124027,0.24807044909945644,36
Phoneme,0.012235464658510166,0.14573089335830547,36
ToeSegmentation1,0.15334827710997148,0.24797475022900173,36
Worms,0.10852769681519854,0.15939774751061417,36
WormsTwoClass,0.1366994968947144,0.19409309627528254,36
