,Unnamed: 0,Eigen_HC,Eigen_kmeans,Eigen_Length
0,Coffee,3.2232910000976487,3.2458851913181737,0.2937062937062937
1,FordA,4.108384659271474,3.8642375190279843,0.33
2,FordB,4.095144699901991,3.9345946127592684,0.33
3,OSULeaf,3.0472184021074225,2.9461478965186445,0.3231850117096019
4,Phoneme,3.012612741205546,2.683670116166465,0.3544921875
5,ToeSegmentation1,3.498807357667207,3.3188483996311935,0.2924187725631769
6,Worms,2.9819116414430114,2.6895931377318663,0.35
7,WormsTwoClass,3.262486093167047,3.045065104604323,0.35
