,Unnamed: 0,BEATS_HC,BEATS_kmeans,BEATS_Length
0,Coffee,3.3341822522536386,3.2709564276134886,0.2937062937062937
1,FordA,3.805805923805682,3.649643985557725,0.33
2,FordB,3.861684503704541,3.7151755045280708,0.33
3,OSULeaf,3.005406826147499,2.9223499966763664,0.3231850117096019
4,Phoneme,2.9646007906797793,2.6765020632388925,0.3544921875
5,ToeSegmentation1,3.4090621373213525,3.2269828744387428,0.2924187725631769
6,Worms,2.950658694039183,2.736997031039332,0.35
7,WormsTwoClass,3.158075434674028,2.975874491620689,0.35
