,Unnamed: 0,PAA_HC,PAA_kmeans,PAA_Length
0,Coffee,3.562247698004858,3.3260061538942103,0.2937062937062937
1,FordA,3.0005654643767548,3.0397376839138706,0.33
2,FordB,3.032679045604893,3.0364902937475375,0.33
3,OSULeaf,3.1157374643817612,3.1046593973250642,0.3231850117096019
4,Phoneme,2.828751012066058,2.804897616061397,0.3544921875
5,ToeSegmentation1,3.472372041460709,3.437401055853978,0.2924187725631769
6,Worms,2.892039831846415,2.8379258192065766,0.35
7,WormsTwoClass,2.8710315199722283,2.85956710477264,0.35
