,Unnamed: 0,Lagrangian_HC,Lagrangian_kmeans,Lagrangian_Length
0,Coffee,3.56217527989556,3.3286296002527425,0.2937062937062937
1,FordA,2.9946741597028637,3.0396522271467172,0.33
2,FordB,3.024729874051653,3.0364091498902748,0.33
3,OSULeaf,3.11589197693415,3.0924457819324163,0.3231850117096019
4,Phoneme,2.822168523636936,2.829874539510102,0.3544921875
5,ToeSegmentation1,3.378274293308568,3.438011792290989,0.2924187725631769
6,Worms,2.8845116376454563,2.858541509931839,0.35
7,WormsTwoClass,2.9402407663039156,2.8596521818147425,0.35
