,BEATS_HC,BEATS_kmeans,BEATS_Length
Coffee,0.24060203598480642,0.24085606600841641,84
FordA,0.31268302454814856,0.3234182612633458,165
FordB,0.2894742536202196,0.2939959625757964,165
OSULeaf,0.11672209248269025,0.16890372914331833,138
Phoneme,0.04912735556609351,-0.007099526811805135,363
ToeSegmentation1,0.13413620662319753,0.1579390332939752,81
Worms,0.09768204739408293,0.10714187191239177,315
WormsTwoClass,0.2228438505081223,0.23064054720242308,315
