,Eigen_HC,Eigen_kmeans,Eigen_Length
Coffee,0.19934097021533986,0.23134514884157747,84
FordA,0.4170472453169294,0.40123324871620275,165
FordB,0.3674301073293837,0.37041965771943075,165
OSULeaf,0.1322580625848866,0.1784225937225289,138
Phoneme,0.06611805827690177,-0.004440398227008867,363
ToeSegmentation1,0.16399289437650005,0.19090316157522333,81
Worms,0.10930853586685586,0.08796653683633084,315
WormsTwoClass,0.2632728821467763,0.2592535730753919,315
