,PAA_SVC,PAA_RF,PAA_Length
Coffee,0.9642857142857143,0.9642857142857143,84
FordA,0.8378787878787879,0.7583333333333333,165
FordB,0.6864197530864198,0.6518518518518519,165
OSULeaf,0.5041322314049587,0.4834710743801653,138
Phoneme,0.15611814345991562,0.1640295358649789,363
ToeSegmentation1,0.6403508771929824,0.6798245614035088,81
Worms,0.44155844155844154,0.5324675324675324,315
WormsTwoClass,0.6363636363636364,0.6363636363636364,315
