,Lagrangian_HC,Lagrangian_kmeans,Lagrangian_Length
Coffee,0.32543501537329816,0.26273471456246716,84
FordA,0.03291077164649807,0.10222566398651804,165
FordB,0.010002576078895252,0.05758158016960898,165
OSULeaf,0.15777517311766415,0.23693993217289583,138
Phoneme,-0.0012772682671470764,0.04979697491532158,363
ToeSegmentation1,0.1238936216504863,0.2336625901403698,81
Worms,0.07307451266360424,0.15630779367101597,315
WormsTwoClass,0.13849571185406143,0.18257807435975104,315
