,Ori_SVC,Ori_RF,Ori_Length
Coffee,0.9285714285714286,1.0,286
FordA,0.8386363636363636,0.781060606060606,500
FordB,0.7037037037037037,0.6814814814814815,500
OSULeaf,0.5,0.49586776859504134,427
Phoneme,0.12025316455696203,0.145042194092827,1024
ToeSegmentation1,0.6359649122807017,0.6491228070175439,277
Worms,0.44155844155844154,0.5714285714285714,900
WormsTwoClass,0.6233766233766234,0.6363636363636364,900
