,STGR_HC_with_6_Nodes,STGR_kmeans_with_6_Nodes,STGR_Length
Coffee,0.3484463243318117,0.37134750995038385,36
FordA,0.4776334097736317,0.5113841029307005,36
FordB,0.5071157319739352,0.5470274353358185,36
OSULeaf,0.2132387415291209,0.28185904811251544,36
Phoneme,0.15290175136075795,0.10146017875810745,36
ToeSegmentation1,0.2167845649936841,0.32013264691703136,36
Worms,0.26826796434298106,0.2930628307134823,36
WormsTwoClass,0.3823722342586803,0.4354151790100448,36
