,BEATS_SVC,BEATS_RF,BEATS_Length
Coffee,0.8928571428571429,1.0,84
FordA,0.781060606060606,0.7621212121212121,165
FordB,0.6506172839506172,0.6012345679012345,165
OSULeaf,0.5371900826446281,0.5165289256198347,138
Phoneme,0.21149789029535865,0.2542194092827004,363
ToeSegmentation1,0.6842105263157895,0.6271929824561403,81
Worms,0.6103896103896104,0.6493506493506493,315
WormsTwoClass,0.7532467532467533,0.7792207792207793,315
