,Lagrangian_SVC,Lagrangian_RF,Lagrangian_Length
Coffee,0.9642857142857143,0.9642857142857143,84
FordA,0.8212121212121212,0.7507575757575757,165
FordB,0.7,0.6679012345679012,165
OSULeaf,0.5041322314049587,0.49586776859504134,138
Phoneme,0.12552742616033755,0.15242616033755274,363
ToeSegmentation1,0.6403508771929824,0.6447368421052632,81
Worms,0.44155844155844154,0.5974025974025974,315
WormsTwoClass,0.6363636363636364,0.6103896103896104,315
