,PAA_HC,PAA_kmeans,PAA_Length
Coffee,0.3254619611270213,0.2617394951519147,84
FordA,0.03494277637629392,0.10225665195319279,165
FordB,0.012656923435775512,0.05760984258239637,165
OSULeaf,0.15771776073032348,0.24182522674576543,138
Phoneme,0.0010521747730086089,0.040531299595424924,363
ToeSegmentation1,0.1551983203747248,0.23344343943923904,81
Worms,0.07587509534040891,0.1479685466197808,315
WormsTwoClass,0.11169707989429595,0.18254289167380686,315
