,Eigen_SVC,Eigen_RF,Eigen_Length
Coffee,1.0,1.0,84
FordA,0.771969696969697,0.7681818181818182,165
FordB,0.6691358024691358,0.6098765432098765,165
OSULeaf,0.5330578512396694,0.512396694214876,138
Phoneme,0.23575949367088608,0.28217299578059074,363
ToeSegmentation1,0.6535087719298246,0.5964912280701754,81
Worms,0.6233766233766234,0.6493506493506493,315
WormsTwoClass,0.7792207792207793,0.8441558441558441,315
