,Unnamed: 0,STGR_SVC_with_6_Nodes,STGR_RF_with_6_Nodes,STGR_Length
0,Coffee,1.0769230769230769,0.9642857142857144,0.1258741258741259
1,FordA,1.160794941282746,1.2395732298739088,0.072
2,FordB,1.119298245614035,1.1231884057971013,0.072
3,OSULeaf,1.7024793388429753,1.6333333333333333,0.08430913348946135
4,Phoneme,1.8859649122807016,1.912727272727273,0.03515625
5,ToeSegmentation1,1.310344827586207,1.337837837837838,0.1299638989169675
6,Worms,1.6176470588235292,1.4090909090909092,0.04
7,WormsTwoClass,1.3333333333333335,1.2244897959183674,0.04
